pop,family,garden,ssp,year,julian,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp
AZW1,AZW-1-7,Maj,t,y11,281,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-8,Maj,t,y11,272,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-9,Maj,t,y11,282,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-2,Orch,t,y11,297,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-3,Orch,t,y11,304,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-4,Orch,t,y11,297,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-5,Orch,t,y11,314,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-7,Orch,t,y11,297,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-8,Orch,t,y11,303,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
CAT1,CAT-1-1,Eph,t,y11,273,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-2,Eph,t,y11,271,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-3,Eph,t,y11,275,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-4,Eph,t,y11,264,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-5,Eph,t,y11,282,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-1,Maj,t,y11,269,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-2,Maj,t,y11,278,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-3,Maj,t,y11,272,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-4,Maj,t,y11,271,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-3,Orch,t,y11,286,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-4,Orch,t,y11,280,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT1,CAT-1-5,Orch,t,y11,291,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,30,13,93
CAT2,CAT-2-1,Eph,t,y11,264,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-10,Eph,t,y11,271,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-2,Eph,t,y11,271,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-3,Eph,t,y11,270,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-5,Eph,t,y11,280,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-6,Eph,t,y11,268,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-7,Eph,t,y11,271,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-8,Eph,t,y11,271,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-9,Eph,t,y11,280,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-1,Maj,t,y11,262,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-10,Maj,t,y11,267,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-3,Maj,t,y11,269,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-4,Maj,t,y11,263,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-5,Maj,t,y11,267,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-7,Maj,t,y11,266,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
