"",9/13/2016
"Timezone",-7

"Serial No.","370000003F3B6021"
"Location:",""
"High temperature limit (°C)",50
"Low temperature limit (°C)",-20
"Date - Time","Temperature (°C)"
42607.70833,26.5
42607.75,14.5
42607.79167,9.5
42607.83333,5.5
42607.875,4.0
42607.91667,3.5
42607.95833,3.0
42608,2.5
42608.04167,2.0
42608.08333,2.0
42608.125,1.5
42608.16667,1.5
42608.20833,1.0
42608.25,1.0
42608.29167,2.5
42608.33333,5.5
42608.375,15.5
42608.41667,21.0
42608.45833,24.0
42608.5,21.5
42608.54167,26.0
42608.58333,29.5
42608.625,29.0
42608.66667,29.5
42608.70833,22.5
42608.75,14.5
42608.79167,9.5
42608.83333,5.5
42608.875,4.0
42608.91667,3.0
42608.95833,3.0
42609,2.5
42609.04167,2.0
42609.08333,2.0
42609.125,1.5
42609.16667,1.5
42609.20833,1.0
42609.25,1.0
42609.29167,1.5
42609.33333,5.0
42609.375,14.5
42609.41667,21.0
42609.45833,25.5
42609.5,20.5
42609.54167,30.0
42609.58333,29.5
42609.625,30.5
42609.66667,29.5
42609.70833,27.5
42609.75,14.5
42609.79167,9.5
42609.83333,5.5
42609.875,4.0
42609.91667,3.0
42609.95833,2.5
42610,2.0
42610.04167,2.0
42610.08333,1.5
42610.125,1.5
42610.16667,1.0
42610.20833,0.5
42610.25,0.5
42610.29167,1.5
42610.33333,5.0
42610.375,15.5
42610.41667,23.5
42610.45833,27.0
42610.5,21.0
42610.54167,31.0
42610.58333,32.5
42610.625,31.5
42610.66667,31.0
42610.70833,30.0
42610.75,15.0
42610.79167,10.5
42610.83333,6.5
42610.875,5.0
42610.91667,3.5
42610.95833,3.0
42611,2.5
42611.04167,2.0
42611.08333,2.0
42611.125,1.5
42611.16667,1.5
42611.20833,1.0
42611.25,0.5
42611.29167,2.0
42611.33333,4.5
42611.375,16.5
42611.41667,24.5
42611.45833,29.5
42611.5,21.5
42611.54167,31.0
42611.58333,34.5
42611.625,33.0
42611.66667,30.0
42611.70833,30.5
42611.75,16.5
42611.79167,13.5
42611.83333,7.5
42611.875,5.5
42611.91667,5.0
42611.95833,4.5
42612,4.0
42612.04167,3.5
42612.08333,3.0
42612.125,3.0
42612.16667,2.5
42612.20833,2.5
42612.25,2.0
42612.29167,3.0
42612.33333,5.5
42612.375,18.5
42612.41667,24.5
42612.45833,27.5
42612.5,22.0
42612.54167,30.5
42612.58333,32.5
42612.625,32.0
42612.66667,31.5
42612.70833,30.0
42612.75,16.5
42612.79167,10.5
42612.83333,6.5
42612.875,5.0
42612.91667,4.0
42612.95833,4.0
42613,3.5
42613.04167,3.5
42613.08333,3.0
42613.125,4.0
42613.16667,5.0
42613.20833,4.5
42613.25,4.0
42613.29167,5.0
42613.33333,8.0
42613.375,16.0
42613.41667,22.5
42613.45833,24.0
42613.5,21.5
42613.54167,30.0
42613.58333,29.5
42613.625,31.5
42613.66667,30.5
42613.70833,28.0
42613.75,13.5
42613.79167,9.5
42613.83333,5.5
42613.875,3.5
42613.91667,3.5
42613.95833,2.5
42614,2.0
42614.04167,1.5
42614.08333,1.0
42614.125,1.0
42614.16667,0.0
42614.20833,0.0
42614.25,0.0
42614.29167,0.5
42614.33333,3.5
42614.375,14.5
42614.41667,22.0
42614.45833,25.5
42614.5,19.5
42614.54167,29.0
42614.58333,28.5
42614.625,31.0
42614.66667,30.0
42614.70833,22.0
